Total time (ms),ROCA counterexample time (ms),DFA counterexample time (ms),Learning DFA time (ms),Table time (ms),Finding descriptions (ms),Membership queries,Counter value queries,Partial equivalence queries,Equivalence queries,Rounds,Openness,Sigma-inconsistencies,Bottom-inconsistencies,Mismatches,Length longest cex,|R|,|S|,|? \ S|,"# of bin rows",Result alphabet size,Result ROCA size
17183,6046,46,11137,10317,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17362,5919,46,11443,10622,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16163,5697,30,10466,10150,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
17870,5694,41,12176,11354,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17391,5755,46,11635,10815,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17028,5975,47,11053,10221,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17151,5880,46,11270,10458,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17682,5708,34,11974,11229,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17729,5873,45,11855,11025,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17337,6382,46,10955,10128,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17718,6040,34,11678,10922,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18360,6105,46,12255,11460,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17559,5892,46,11667,10847,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16753,6017,41,10737,9918,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16906,5838,42,11069,10294,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16109,5674,46,10434,10095,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
18337,6174,41,12163,11409,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
7884,5872,34,2012,1910,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
18050,5576,44,12474,11547,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17960,5793,47,12168,11344,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17365,6330,44,11035,10241,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18062,6191,46,11871,11054,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17772,5681,45,12090,11189,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17552,5760,44,11791,10961,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17501,6210,46,11291,10475,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17277,5859,44,11418,10615,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18047,5674,45,12373,11473,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
7859,5849,35,2010,1905,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
15181,5847,30,9334,9034,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
